Latitude	Longitude
47.365337	-1.175532
47.06166	-0.8745
47.2529534	-1.1834278
47.27462	-2.43096
47.263656	-0.369383
47.3459	-2.50698
47.798904	0.6787684
47.68626	-0.87074
47.252118	-0.219681
47.272882	-0.326517
47.28235	-2.40903
47.44973	-2.31704
47.441094	-2.264726
47.33146	-2.4213
47.258	-0.070502
47.131026	-0.154496
47.23503	-0.1573
47.3418	-0.02987
47.46286	-0.54003
47.19658	-0.2715
48.0062583	0.2082255
47.514694	-1.9408329
47.22	-1.97258
47.6988449	-0.074405
47.1839845	-1.0945058
47.5327168	-1.8544363
47.133977	-0.152859
47.37789	-2.54365
47.3197761	-1.3447625
47.647295	0.156379
47.38376	-2.3994
48.2808761	0.0193609
47.29256	-2.50871
47.29811	-2.51492
47.329	-0.024357
47.13977	-1.35797
47.135	-0.11116
47.44615	-2.24029
47.26872	-2.34483
47.25209	-0.02191
47.2266114	-0.7360886
47.48664	-2.29003
47.6784666	-0.9715136
47.47588	-1.76476
48.225238	0.13229732
47.29758	-2.52303
47.41912	-0.43965
47.4182	-0.54025
48.01376	0.24254
48.43841	-0.49783
47.43825	-0.60919
47.3894903	-0.4270871
47.6183365	-1.4488659
47.47567	-0.56365
47.22078	-0.06452
47.1330356	-1.2263202
47.32634	-2.43049
48.0687958	-0.7660484
47.28706	-2.52097
47.257	-0.07123
47.28222	-2.50844
47.2332988	-1.5594356
48.028397	0.75606
47.601672	0.22602384
47.06347	-0.90692
47.4017957	-1.5857337
47.48948	-0.60004
47.21789	-0.022138
47.6041615	-0.3976506
47.8154217	0.06939683
47.755858	0.06797
47.387	-0.528
48.1933162	0.2956906
48.4138207	-0.9597414
48.29755	-0.94379
47.604487	-0.009576
47.2772573	-2.0774183
46.99812	-0.75881
47.03767	-1.0067
47.6057294	-1.6310622
47.02862	-0.83656
47.07191	-0.81944
47.3470079	-1.5599792
47.6619319	-1.3261346
47.5511	-0.47889
47.412676	0.154528
47.606423	-0.5196044
48.3832808	-0.8611572
47.4985316	-0.1597032
47.337404	-1.156101
47.59961	-0.64422
47.34405	-2.50712
47.378694	-1.1505475
47.2273358	-0.8513513
47.613073	-0.100722
47.507788	0.103374
48.393274	-0.380576
47.812691	-0.517008
48.128395	-0.752225
47.44203	-0.61285
47.1191095	-1.364334
47.5876267	0.16978935
47.754394	0.58326899
47.58765	-0.239
47.85547	0.34843
47.3938708	-0.2762515
48.2899036	-0.0997512
47.56659	-1.30281
47.49921	-0.64819
47.4662428	0.0915317
47.997151	-0.147776
47.5411241	0.01519591
47.7808888	-0.0803364
47.71945	-0.02424
47.4678721	-1.76777
48.0644113	-0.8330913
47.2577387	-1.9138757
47.16899	-0.51282
47.35088	-2.51634
47.3149147	-1.3221035
47.3971347	-1.5386681
48.342583	-0.062374
48.342583	-0.062374
48.342583	-0.062374
47.813936	-0.086743
47.06055	-1.6336
48.105882	0.027224
48.251563	-0.111638
48.104171	0.791155
48.1192469	0.79482689
48.182818	-0.127533
48.344568	-0.4916154
48.16022	-0.198862
47.962142	0.25182778
48.089782	0.016939
47.6662794	-0.2411472
47.7672871	-0.3207927
48.3004866	0.02922079
47.03257	-1.58467
47.713037	-0.156843
47.4650669	-0.797371
47.6954759	-0.0770227
47.6615739	-0.3499259
48.1189	-0.05326
48.1827445	0.130245
47.892942	0.202743
47.8228776	0.4100759
47.646614	0.1576977
48.0031727	0.202426
48.0191935	-0.5755881
47.8482149	-0.9440915
47.4364473	-0.2072787
47.310265	-0.669568
47.201656	-0.736141
47.582539	0.143757
48.2008	0.02461
47.8282	0.075405
47.7425894	-0.0619022
48.4032315	-0.6154446
47.62609	-0.40074
47.39624	-0.44478
47.1898726	-1.453204
47.4009868	-0.9244022
47.2772573	-2.0774183
47.6572338	0.44271349
47.878755	0.209214
47.2086171	-1.5690311
47.2475286	-2.2903199
47.10843	-2.08021
47.3451386	-1.2894926
47.1964769	-1.8304915
47.6807	-0.08835
47.305251	-1.062888
47.263654	-1.047409
47.263161	-1.045279
47.6999325	-0.6671757
47.32578	-0.46862
47.397091	-0.436452
47.5564771	-0.8404908
47.18246	-0.4305
47.266515	-0.4679753
47.33318	-0.68033
47.6392206	-0.6626239
47.7068669	-0.9098704
47.17808	-0.5305
47.654257	-0.845633
47.310591	-0.66674
47.3575346	-0.7728927
47.353268	-0.76502
47.6341273	0.2309445
47.235999	-0.5798666
47.6788562	-0.4877604
48.293785	-0.480934
48.1189325	-0.3798221
48.0982195	-0.349154
48.0979662	-0.3489655
47.892942	0.202743
48.1984574	-0.406296
48.097131	-0.351527
47.2224431	-0.5989264
47.426654	-0.250289
47.3319159	-1.5315613
47.4738177	-1.7591979
48.167585	-0.061716
47.2442051	-2.2860385
47.6796789	-0.9227355
47.308669	-0.645872
48.139449	-0.114082
47.37718	-0.723564
47.47337	-0.88014
47.1620613	-1.4275435
48.0896663	-0.6470503
48.1789638	-0.8829335
47.9160349	-0.5634929
47.8492752	-0.704112
48.4579889	-0.8908913
47.8715437	0.2505712
47.710687	-0.659402
47.42564	-0.33582
47.09198	-0.44981
47.330671	-1.004687
48.2582748	0.15355427
47.0862061	-1.2851748
48.076135	-0.763189
47.3416812	-0.7413148
48.005383	0.193233
48.0085795	0.1983766
47.28327	-2.2056
48.014428	0.200042
47.3638365	-1.0140784
47.2776598	-2.2149249
48.123635	-0.8177359
47.9652757	-0.1431653
47.9608237	-0.0670428
47.3568733	-2.1879218
47.888316	-0.231448
47.8896962	-0.2337616
47.8671901	0.5662611
48.232898	-0.4481929
47.12512	-1.5839
47.13464	-1.5882
48.024825	0.0737469
48.014712	0.026339
48.054908	0.004541
47.9422957	-0.7798828
48.3827426	-0.1281655
47.6459435	0.2560941
48.171565	-0.757635
47.9251105	-0.1791838
47.637475	0.241157
46.906444	-1.682613
47.9924268	-0.3569039
48.3464904	-0.2467474
47.904625	-0.664092
47.8436856	-0.5863781
46.910231	-1.573467
47.611425	-1.825409
47.966091	-0.5268231
47.8592889	0.467911
47.8117479	-0.730888
48.001999	-0.488827
47.9619588	-0.5424527
47.8117479	-0.730888
47.8117479	-0.730888
48.0057708	-0.4969713
47.834299	-0.710782
47.48224	-0.235303
47.3987914	-1.5804709
48.299414	-0.5654514
48.4602094	-0.5377563
48.3011689	-1.0023679
47.863127	-1.0703689
47.130535	-1.359034
47.833914	-1.033768
48.4655358	-0.4808301
48.33715	-0.711074
46.8826233	-1.6067478
48.315071	-1.052486
48.102965	-0.749885
48.124984	-0.594611
48.4203959	-0.5408039
48.0863115	-1.0444489
48.15068	0.736112
47.8897862	-0.2337032
47.9958219	-0.768838
48.0332744	0.2770579
47.7037527	-0.1852027
48.1443005	-0.8449578
48.110765	0.205998
47.8941731	0.2045428
47.892942	0.202743
48.46888	-0.1641789
48.246516	-0.111662
47.4288011	-1.4972237
47.3634026	-1.1791536
47.286987	-0.5593579
47.1898221	-1.3290225
47.530399	-0.013214
47.39645	-0.3884149
47.8922097	-0.0487292
47.8539079	-0.0857402
47.35539	-0.65354
47.3337192	-0.6796436
47.27306	-0.7771788
47.8118488	-0.730888
47.846628	-0.928843
48.372051	0.32167
48.4108476	-0.8170236
47.4939871	-0.0462653
47.4127364	-0.9224535
47.38025	-0.49394
47.5389634	-0.1737154
47.3512352	-0.7631671
48.1293955	0.50920305
47.6987407	-0.0953783
47.7030473	-0.3478571
47.6308492	0.2326791
47.5235417	-1.345736
47.6455567	-0.3048321
47.65181	-0.445704
47.52778	-0.40208
47.728	0.58483
48.3601703	-0.286317
47.837205	0.275704
48.0124023	0.1999132
47.5554442	-0.2315501
48.3134771	-0.6136527
47.6281048	0.05606491
48.3574461	0.37238328
48.3574461	0.37238328
47.7023082	0.07439099
47.5743252	-0.201199
48.0010209	0.812136
47.5355174	-0.233804
47.2470785	-2.266511
47.40603	-0.48394
47.3587557	-2.1871922
