Latitude,Longitude
47.3956068,-0.887657
47.25884,-1.91547
48.2561001,-0.4951983
47.381,-2.54627
47.38061,-2.54866
47.3991065,-0.4176105
47.5597801,-0.0855666
47.04254,-1.95275
47.34963,-2.51305
47.32806,-2.4293
47.3935548,-0.2756722
47.9727972,0.5558806
47.6942025,-1.0901481
47.12872,-2.21915
47.238247,0.054434
47.13584,-2.24517
47.20433,-1.40275
47.20433,-1.40275
47.28102,-2.36228
47.1823,-2.14801
44069,47.32808
44069,47.32808
47.1823,-2.14801
47.3482,-2.49104
47.381,-2.54624
47.357131,-1.015158
47.10082,-1.12698
47.12177,-2.09175
48.10854,-0.07504
47.3482,-2.49104
47.28692,-2.39138
47.27362,-2.42739
47.184462,-0.25867
46.99533,-1.82452
47.40839,-2.31402
47.12919,-2.2189
47.278714,-1.7839318
48.0599131,0.73327233
47.44598,-2.13138
48.0756,-0.77167
47.3391864,-1.2743567
53130,48.0756
47.3640319,-1.0137572
48.3040828,-0.6155062
48.0756,-0.77167
47.1027,-2.06961
47.13491,-2.24569
47.2834239,-1.873039
47.9861276,0.2119339
47.27639,-2.41937
47.32728,-2.42714
72181,47.99962
48.19031,-0.15266
48.079156,-0.7554878
44126,47.13905
49007,47.47
47.0662,-1.98088
47.265914,-0.106531
47.05771,-0.87988
47.26499,-2.14649
47.126,-0.54997
47.206472,-0.9916559
47.25969,-2.33941
48.35072,0.3684
48.17376,0.34917
47.184428,-0.258667
47.2747164,-1.7815109
47.2138476,-0.7326136
47.9839581,0.2506153
47.38732,-0.86281
47.4402572,-0.2178734
47.250569,-0.087631
48.11306,0.51429
48.3056774,-0.6174105
47.99864,-0.71666
47.79086,-0.44237
47.362077,-1.0341888
48.0086892,-0.3937755
48.2817534,0.01834616
,53181
47.08092,-2.03968
47.1849629,0.030207
47.214925,0.059098
48.096699,-0.354074
48.096699,-0.354074
47.245513,-2.167894
47.062668,-2.002222
47.245513,-2.167894
48.096699,-0.354074
48.210621,-0.207814
47.12828,-2.21613
44126,47.137401
47.982125,-0.405858
47.081132,-2.038009
47.245513,-2.167894
48.229094,-0.308348
47.398613,-2.460854
47.197809,-1.881001
47.285185,-2.392391
48.096699,-0.354074
48.210621,-0.207814
48.096699,-0.354074
47.3638535,-1.0127512
72181,47.9839581
47.1905599,-0.2994419
47.196248,-0.300124
47.34525,-2.51215
49244,47.3337318
72181,47.9558189
47.95973,0.20599
72181,47.956751
47.38367,-0.65526
47.9610555,-0.2229773
47.3704048,-0.6830334
47.49806,-0.49594
47.3604413,-0.6573669
47.5434986,-0.0999508
47.00622,-0.74481
47.5404076,-0.1012379
48.3027512,-0.6178766
48.159324,0.559048
47.214193,-0.078478
47.89218,0.20158
47.05772,-0.87989
47.9333818,-0.8954235
47.272372,-0.107055
47.3288,-2.42707
47.9201893,0.1331564
47.9201893,0.1331564
47.3898383,-0.8639788
47.81744,-0.7128
47.5416596,-0.104033
47.94213,-0.77938
49092,47.2138475
48.0531612,0.54721908
48.2817462,0.01807794
